Q,A
"hi, Hi, Hello, hello","Hi! Welcome to RIDO community! I am RIDO_bot, what can I do for you?"
"Presale, private sale","🌟Presale Start Date: Nov/27 at 6AM UTC
🌟Presale End Date: Nov/29 at 6AM UTC
🌟Price: 1 $BNB = 20,000 $ RDO
🌟Place: https://ridopresale.org/?icoreferral=0x601e0C8E234C5DAE7d27E9b96B05bcAE18EC691f
🌟Minimum contribution: 0.1 BNB
🌟Maximum contribution: 40 BNB
🌟HardCap: 300 BNB
🌟Refer Bonus: 2%"
"When is presale, when is private sale, when presale starts, when presale ends","🌟Presale Start Date: Nov/27 at 6AM UTC
🌟Presale End Date: Nov/29 at 6AM UTC"
"Where is presale, where to contribute, where is the link, contribute link, how to participate, participate link, presale link",Please visit: https://ridopresale.org/?icoreferral=0x601e0C8E234C5DAE7d27E9b96B05bcAE18EC691f
"what is presale price, what is the price, what is presale rate, presale price, private sale price","Price: 1 $BNB = 20,000 $ RDO"
"Minimum contribution, maximum contribution, minimum amount to participate, what is the maximum buy, what is the maximum buy, minimum per wallet, maximum per wallet","🌟Minimum contribution: 0.1 BNB
🌟Maximum contribution: 40 BNB"
"What is the softcap, that is the hardcap, softcap, hardcap","🌟 SoftCap: 150BNB, HardCap: 300 BNB"
"Refer bonus, bonus, presale bonus, invite bonus",🌟Refer Bonus: 2%
,
"airdrop, token airdrop","🌟Place: https://t.me/RIDO_Airdrop_Bot
🌟Joining bonus: 100 $RDO
🌟Refer bonus: 100 $RDO (Invite one person to telegram group)
🌟Duration: Nov/24 - Nov/29"
